teamID, league, city, nickname, yearStart, yearEnd
ANA,AL,Anaheim,Angels,1997,2022
BAL,AL,Baltimore,Orioles,1954,2022
BOS,AL,Boston,Red Sox,1901,2022
CHA,AL,Chicago,White Sox,1901,2022
CLE,AL,Cleveland,Indians,1901,2022
DET,AL,Detroit,Tigers,1901,2022
HOU,AL,Houston,Astros,2013,2022
KCA,AL,Kansas City,Royals,1969,2022
MIN,AL,Minnesota,Twins,1961,2022
NYA,AL,New York,Yankees,1903,2022
OAK,AL,Oakland,Athletics,1968,2022
SEA,AL,Seattle,Mariners,1977,2022
TBA,AL,Tampa Bay,Devil Rays,1998,2022
TEX,AL,Texas,Rangers,1972,2022
TOR,AL,Toronto,Blue Jays,1977,2022
ARI,NL,Arizona,Diamondbacks,1998,2022
ATL,NL,Atlanta,Braves,1966,2022
CHN,NL,Chicago,Cubs,1876,2022
CIN,NL,Cincinnati,Reds,1890,2022
COL,NL,Colorado,Rockies,1993,2022
LAN,NL,Los Angeles,Dodgers,1958,2022
SDN,NL,San Diego,Padres,1969,2022
MIA,NL,Miami,Marlins,2012,2022
MIL,NL,Milwaukee,Brewers,1998,2022
NYN,NL,New York,Mets,1962,2022
PHI,NL,Philadelphia,Phillies,1883,2022
PIT,NL,Pittsburgh,Pirates,1887,2022
SFN,NL,San Francisco,Giants,1958,2022
SLN,NL,St. Louis,Cardinals,1892,2022
WAS,NL,Washington,Nationals,2005,2022
