nicknameID,franchiseID, franchiseIDprior, league, division, location, nickname, nicknamesAlternate, dateStart, dateEnd, city, state
4,ANA,ANA,AL,W,Los Angeles,Angels,,4/5/2005,,Anaheim,CA
5,ARI,ARI,NL,W,Arizona,Diamondbacks,,3/31/1998,,Phoenix,AZ
17,ATL,ATL,NL,E,Atlanta,Braves,,4/4/1994,,Atlanta,GA
21,BAL,BAL,AL,E,Baltimore,Orioles,,4/8/1969,,Baltimore,MD
24,BOS,BOS,AL,E,Boston,Red Sox,,4/8/1969,,Boston,MA
27,CHA,CHA,AL,C,Chicago,White Sox,,4/4/1994,,Chicago,IL
35,CHN,CHN,NL,C,Chicago,Cubs,,4/4/1994,,Chicago,IL
41,CIN,CIN,NL,C,Cincinnati,Reds,,4/3/1994,,Cincinnati,OH
47,CLE,CLE,AL,C,Cleveland,Indians,,4/4/1994,,Cleveland,OH
48,COL,COL,NL,W,Colorado,Rockies,,4/5/1993,,Denver,CO
51,DET,DET,AL,C,Detroit,Tigers,,3/31/1998,,Detroit,MI
56,HOU,HOU,AL,W,Houston,Astros,,3/31/2013,,Houston,TX
58,KCA,KCA,AL,C,Kansas City,Royals,,4/4/1994,,Kansas City,MO
69,LAN,LAN,NL,W,Los Angeles,Dodgers,,4/7/1969,,Los Angeles,CA
71,MIA,MIA,NL,E,Miami,Marlins,,4/4/2012,,Miami,FL
76,MIL,MIL,NL,C,Milwaukee,Brewers,,3/31/1998,,Milwaukee,WI
81,MIN,MIN,AL,C,Minnesota,Twins,,4/5/1994,,Minneapolis,MN
85,NYA,NYA,AL,E,New York,Yankees,,4/7/1969,,New York,NY
87,NYN,NYN,NL,E,New York,Mets,,4/8/1969,,New York,NY
91,OAK,OAK,AL,W,Oakland,Athletics,A's,4/8/1969,,Oakland,CA
96,PHI,PHI,NL,E,Philadelphia,Phillies,,4/8/1969,,Philadelphia,PA
102,PIT,PIT,NL,C,Pittsburgh,Pirates,,4/4/1994,,Pittsburgh,PA
103,SDN,SDN,NL,W,San Diego,Padres,,4/8/1969,,San Diego,CA
104,SEA,SEA,AL,W,Seattle,Mariners,,4/6/1977,,Seattle,WA
108,SFN,SFN,NL,W,San Francisco,Giants,,4/7/1969,,San Francisco,CA
114,SLN,SLN,NL,C,St. Louis,Cardinals,,4/3/1994,,St. Louis,MO
116,TBA,TBA,AL,E,Tampa Bay,Rays,,3/31/2008,,St. Petersburg,FL
119,TEX,TEX,AL,W,Texas,Rangers,,4/15/1972,,Arlington,TX
120,TOR,TOR,AL,E,Toronto,Blue Jays,,4/7/1977,,Toronto,ON
122,WAS,WAS,NL,E,Washington,Nationals,,4/4/2005,,Washington,DC
